Vivado Simulator 2016.2
Time resolution is 1 ps
i=xxxx, x=xxxxxxxxxxxxxxxx, y=xxxxxxxxxxxxxxxx, z=xxxxxxxxxxxxxxxx
i=1011, x=0000000101101010, y=0000000101101001, z=0000000000000000
i=1011, x=0000000010110101, y=0000000010110100, z=0000000000000000
i=1011, x=0000000001011010, y=0000000001011010, z=0000000000000000
i=1011, x=0000000000101101, y=0000000000101101, z=0000000000000000
i=1011, x=0000000000010110, y=0000000000010110, z=0000000000000000
i=1011, x=0000000000001011, y=0000000000001011, z=0000000000000000
i=1011, x=0000000000000101, y=0000000000000101, z=0000000000000000
i=1011, x=0000000000000010, y=0000000000000010, z=0000000000000000
i=1011, x=0000000000000001, y=0000000000000001, z=0000000000000000
i=1011, x=0000000000000000, y=0000000000000000, z=0000000000000000
i=1100, x=0010110101000001, y=0010110101000010, z=1111111111111110
i=1100, x=0001011010100000, y=0001011010100001, z=0111111111111111
i=1100, x=0000101101010000, y=0000101101010000, z=0011111111111111
i=1100, x=0000010110101000, y=0000010110101000, z=0001111111111111
i=1100, x=0000001011010100, y=0000001011010100, z=0000111111111111
i=1100, x=0000000101101010, y=0000000101101010, z=0000011111111111
i=1100, x=0000000010110101, y=0000000010110101, z=0000001111111111
i=1100, x=0000000001011010, y=0000000001011010, z=0000000111111111
i=1100, x=0000000000101101, y=0000000000101101, z=0000000011111111
i=1100, x=0000000000010110, y=0000000000010110, z=0000000001111111
i=1100, x=0000000000001011, y=0000000000001011, z=0000000000111111
i=1100, x=0000000000000101, y=0000000000000101, z=0000000000011111
i=1100, x=0000000000000010, y=0000000000000010, z=0000000000001111
i=1100, x=0000000000000001, y=0000000000000001, z=0000000000000111
i=1100, x=0000000000000000, y=0000000000000000, z=0000000000000011
i=1100, x=0000000000000000, y=0000000000000000, z=0000000000000001
i=1100, x=0000000000000000, y=0000000000000000, z=0000000000000000
i=1101, x=0010110101000011, y=0010110101000000, z=0000000000000010
i=0000, x=0010011011011101, y=0000000000000000, z=0010000110000011
i=0000, x=0001001101101110, y=0000000000000000, z=0001000011000001
i=0000, x=0000100110110111, y=0000000000000000, z=0000100001100000
i=0000, x=0000010011011011, y=0000000000000000, z=0000010000110000
